Building,Bed,Bath,Study,Floor Plan,URL,Floor Plan Viewer,SF,Orientation,Unit Numbers,Quantity,
Sabine on 5th,1,1,FALSE,PLAN C,https://drive.google.com/file/d/1aTRXVnss7VwDri5VwZs71j525i2mbLE1/view?usp=drive_link,https://drive.google.com/uc?export=view&id=1aTRXVnss7VwDri5VwZs71j525i2mbLE1,693,,,,
Sabine on 5th,1,1,FALSE,PLAN C - H.C.,https://drive.google.com/file/d/1BrONe3YX_8YWbYPw5h-GeiU6zUw_NZgm/view?usp=drive_link,https://drive.google.com/uc?export=view&id=1BrONe3YX_8YWbYPw5h-GeiU6zUw_NZgm,693,,,,
Sabine on 5th,1,1,FALSE,PLAN D,https://drive.google.com/file/d/1t4BjXxMVSddp675RcftW5dgwcL2V-OI3/view?usp=drive_link,https://drive.google.com/uc?export=view&id=1t4BjXxMVSddp675RcftW5dgwcL2V-OI3,728,,,,
Sabine on 5th,1,1,FALSE,PLAN F,https://drive.google.com/file/d/1SU0JL7zRFJEft6Zn7zIadSp-kBhZKBQI/view?usp=drive_link,https://drive.google.com/uc?export=view&id=1SU0JL7zRFJEft6Zn7zIadSp-kBhZKBQI,877,,,,
Sabine on 5th,1,1,FALSE,PLAN H,https://drive.google.com/file/d/1B3fbQA0-y91SiwwGJgSvfw-9FtZprRwC/view?usp=drive_link,https://drive.google.com/uc?export=view&id=1B3fbQA0-y91SiwwGJgSvfw-9FtZprRwC,951,,,,
Sabine on 5th,1,1,FALSE,PLAN I,https://drive.google.com/file/d/1k48a85F96Zx5mvJEGGm9GxtyKvanCLUx/view?usp=drive_link,https://drive.google.com/uc?export=view&id=1k48a85F96Zx5mvJEGGm9GxtyKvanCLUx,916,,,,
Sabine on 5th,1,1,FALSE,PLAN J,https://drive.google.com/file/d/1YgzoE_OYJpxV5yt8MWCkxlfH4soTmvXO/view?usp=drive_link,https://drive.google.com/uc?export=view&id=1YgzoE_OYJpxV5yt8MWCkxlfH4soTmvXO,628,,,,
Sabine on 5th,1,1,FALSE,PLAN K,https://drive.google.com/file/d/1i6NFSdZIYR82rqMwtYzwjT7LQE5JcfoU/view?usp=drive_link,https://drive.google.com/uc?export=view&id=1i6NFSdZIYR82rqMwtYzwjT7LQE5JcfoU,729,,,,
Sabine on 5th,1,1,FALSE,PLAN I,https://drive.google.com/file/d/1gyHNxV8O3ISD4fXJhDheLtg0rsabr5rU/view?usp=drive_link,https://drive.google.com/uc?export=view&id=1gyHNxV8O3ISD4fXJhDheLtg0rsabr5rU,916,,,,
Sabine on 5th,1,1,FALSE,PLAN J,https://drive.google.com/file/d/1CCfMMfNxZLNb3kdGaAeh78FY39Vg3O4L/view?usp=drive_link,https://drive.google.com/uc?export=view&id=1CCfMMfNxZLNb3kdGaAeh78FY39Vg3O4L,628,,,,
